제목, 개봉일, 관람객수, 누적관람객수
서울의 봄,2023-11-22,200541,5471675
3일의 휴가,2023-12-06,34130,74165
나폴레옹,2023-12-06,22179,61243
싱글 인 서울,2023-11-29,11621,287428
괴물,2023-11-29,10341,164395
엔시티 네이션 : 투 더 월드 인 시네마,2023-12-06,2674,10248
듄,2021-10-20,2134,1627746
스노우 폭스: 썰매개가 될 거야!,2023-11-23,2039,75654
프레디의 피자가게,2023-11-15,1555,660671
매직 프린세스: 얼음 괴물과 사라진 열쇠의 비밀,2023-12-07,1381,1381
