제목, 저자, 출판사, 정가, 판매가, 출간일
파이썬을 활용한 베이지안 통계(Think Bayes),앨런 B. 다우니,한빛미디어,18000,16200,2014-07-21
프로그래머를 위한 베이지안 with 파이썬,캐머런 데이비슨 필론,길벗,27000,24300,2017-11-30
Hello Coding 파이썬(Hello Coding 시리즈),윤인성,한빛미디어,18800,16920,2018-01-02
고성능 파이썬 프로그래밍(acorn+PACKT 시리즈),가브리엘레 라나로,에이콘출판,12000,10800,2016-04-26
파이썬 for Beginner(IT Cookbook 223),우재남,한빛아카데미,23000,22080,2017-11-30
파이썬(왕초보를 위한)(CD-ROM 1장 포함),최용,사이버출판사,14000,-1,2002-04-19
RESTful 파이썬 웹 서비스 제작(acorn+PACKT 시리즈),가스통 힐라,에이콘출판,35000,31500,2017-07-24
파이썬 딥러닝 케라스(블록과 함께 하는),김태영,디지털북스,25000,22500,2017-09-30
파이썬 네트워크 프로그래밍(IOT 사물인터넷을 위한),서열규/전희성,복두출판사,26000,24700,2020-01-10
파이썬으로 데이터 주무르기,민형기,비제이퍼블릭,27500,24750,2017-12-29
파이썬 머신러닝,세바스티안 라슈카,지앤선,32000,28800,2017-01-25
나의 첫 파이썬,에릭 마테스,한빛미디어,30000,27000,2017-05-01
파이썬 네트워크 프로그래밍(IOT 사물인터넷을 위한)(2판),서열규/전희성,복두출판사,27000,27000,2020-03-25
알고리즘과 자료구조(자바+파이썬),조민호,정보문화사,15000,13500,2018-08-10
라즈베리 파이 프로그래밍(파이썬으로 시작하는)(2판)(제이펍의 로봇 시리즈 7),사이먼 몽크,제이펍,19000,17100,2016-02-29
한권으로 파이썬과 드론 날로 먹기,이현종/박재일,잇플,18000,16200,2020-07-16
코딩 클럽 LV. 1: 모두를 위한 파이썬 기초(10대를 위한 프로그래밍 노트 수프),크리스 로피,한빛미디어,10000,9000,2015-09-01
스타트 업 파이썬,이지선,성안당,25000,22500,2018-06-07
파이썬 코딩의 기술(Effective Python),브렛 슬라킨,길벗,24000,21600,2016-03-31
파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러/세라 가이도,한빛미디어,32000,28800,2019-03-29
파이썬 프로그래밍,김동근,가메,28000,25200,2016-07-20
코딩 부트캠프 with 파이썬,유모토 미치타카,길벗,20000,18000,2017-12-11
파이썬 프로그래밍,John V Guttag,도서출판 홍릉(홍릉과학출판사),23000,23000,2016-02-04
파이썬 연습,김기용/성동수,그린,26000,26000,2020-02-27
파이썬 for Beginner,우재남,한빛아카데미,23000,23000,2020-01-06
파이썬 웹프로그래밍,김석훈,한빛미디어,20000,-1,2015-04-01
파이썬 네트워킹 마스터,에릭 추,에이콘출판,35000,31500,2018-05-28
