제목, 저자, 출판사, 정가, 판매가, 출간일
알고리즘 구현으로 배우는 선형대수 with 파이썬,장철원,비제이퍼블릭,34000,30600,2021-12-24
지구과학을 위한 차근차근 파이썬 코딩 실습 Vol 2 활용편,심성보/시호연/진대호/송강현/이선주/이정은,좋은땅,28000,25200,2023-08-12
파이썬 데이터 사이언스 핸드북,제이크 밴더플래스,위키북스,38000,34200,2017-09-29
모두의 데이터 분석 with 파이썬,송석리/이현아,길벗,18000,16200,2019-04-25
지구과학을 위한 차근차근 파이썬 코딩 실습 활용편 Vol 1,심성보/시호연/진대호/송강현/이선주/이정은,좋은땅,28000,25200,2023-08-12
Chapra의 파이썬 수치해석,Steven C. Chapra/David E. Clough,한티에듀,38000,38000,2023-03-27
처음 시작하는 파이썬,빌 루바노빅,한빛미디어,36000,32400,2020-08-24
ChatGPT를 활용한 파이썬 워크북,이경숙,길벗캠퍼스,26000,23400,2023-06-07
Getting Start Python(2판),김영아,구민사,25000,22500,2019-04-25
파이썬 증권 데이터 분석,김황후,한빛미디어,32000,28800,2020-07-01
파이썬 프로그래밍 교과서(개정판 3판),제니퍼 캠벨/폴 그라이즈/제이슨 만토요,길벗,23000,20700,2019-04-30
파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),이경택/방성수/안상준,정보문화사,25000,22500,2020-10-08
데이터 분석을 위한 전처리와 시각화 with 파이썬,오경선/양숙희/장은실,길벗캠퍼스,29000,29000,2023-05-01
Do it! 파이썬 생활 프로그래밍,김창현,이지스퍼블리싱,20000,18000,2020-07-27
파이썬으로 구현하는 AI 자율주행 자동차 with 아두이노 자동차 만들기,장문철,앤써북,20000,18000,2023-11-10
전문가를 위한 파이썬 프로그래밍,미하우 야보르스키/타레크 지아데,제이펍,38000,34200,2022-08-12
반갑다 코딩!,히웰 카버,킨더랜드,14800,13320,2017-01-15
파이썬으로 하는 데브옵스,노아 기프트/케네디 베어먼/알프레도 데자/그릭 게오르규,에이콘출판,40000,36000,2021-06-30
전문가를 위한 파이썬,루시아누 하말류,한빛미디어,55000,49500,2016-08-12
나는 파이썬으로 머신러닝한다 1,최정원/박지훈,씨마스,22000,19800,2022-06-07
SQL과 AI 알고리즘 with 파이썬,김현정/황숙희,길벗캠퍼스,27000,24300,2023-08-18
파이썬으로 풀어보는 수학,아미트 사하,에이콘출판,25000,22500,2016-06-28
소프트웨어 코딩 대회를 위한 파이썬 문제 풀이 100,이형우,길벗,20000,18000,2023-01-30
AI 수학 with 파이썬,아즈마 유키나가,영진닷컴,23000,20700,2021-01-15
파이썬으로 배우는 통계학 교과서,바바 신야,한빛미디어,30000,27000,2019-11-22
데이터 경영을 위한 파이썬,마탄 그리펠/대니얼 게타,윌북,18600,-1,2023-11-02
누구나 파이썬 통계분석,타니아이 히로키,한빛아카데미,26000,23400,2020-04-06
파이썬 마스터,온개발팀,온노트,52000,-1,2023-08-29
칼퇴하는 일잘러의 업무 스킬, 파이썬 업무 자동화,이태화,프리렉,25000,22500,2022-12-26
암호화폐 자동매매 시스템 만들기 with 파이썬,정성문,로드북,35000,31500,2022-03-02
실전 파이썬 객체 지향 디자인 패턴,온개발팀/향단코드,온노트,18000,-1,2023-11-02
Matplotlib Tutorial - 파이썬으로 데이터 시각화하기,김민휘,유페이퍼,12000,-1,2023-11-21
통계학: 파이썬을 이용한 분석,인하대학교 통계학과,자유아카데미,32000,32000,2022-06-25
수학으로 배우는 파이썬,다나카 카즈나리,영진닷컴,13000,11700,2019-03-04
으뜸 파이썬,박동규/강영민,생능출판,32000,32000,2020-02-17
데이터 전처리 대전,모토하시 도모미쓰,한빛미디어,30000,27000,2019-11-01
웹 크롤링 & 데이터 분석 with 파이썬,장철원,인사이트,20000,18000,2022-01-24
IT 비전공자를 위한 파이썬 업무 자동화(RPA),비현코김우현,디지털북스,26000,-1,2023-11-24
달구나 파이썬!,노순국/이금분/정유정,연두에디션,20000,19000,2023-08-15
파이썬과 수치해석,권기운,교우,20000,20000,2023-09-15
프로그래밍 입문을 위한 파이썬의 정석,조용주 저자 임좌상 저자,길벗캠퍼스,29800,-1,2023-11-01
내일은 코딩테스트 with 파이썬,윤인도,김앤북,27000,24300,2023-06-08
파이썬을 이용한 기초통계학,박철근 저자,자유아카데미,30000,-1,2023-10-12
엑셀이 편해지는 파이썬,펠릭스 춤슈타인,한빛미디어,28000,25200,2022-04-20
SSS급 일잘러를 위한 파이썬과 40개의 작품들,장문철,앤써북,22200,19980,2022-11-20
누구나 쉽게 컴퓨팅 사고 with 파이썬,김현정 저자 황숙희 저자,길벗캠퍼스,25000,-1,2023-10-25
플라스크 웹 개발,미구엘 그린버그,비제이퍼블릭,26000,23400,2016-08-30
바이오파이썬으로 만나는 생물정보학,한주현,비제이퍼블릭,26000,23400,2019-03-22
파이썬을 활용한 머신러닝 해석 가능성,세르그 마시스,에이콘출판,45000,40500,2023-06-30
Let’s Get IT 파이썬 프로그래밍,안지혜,길벗,22000,19800,2021-07-05
내일은 파이썬 1권(입문)+2권(실전) 세트(Ver.3.11),임형래,김앤북,22000,19800,2023-09-21
머신 러닝 딥 러닝에 필요한 기초 수학 with 파이썬,조준우,인사이트,27000,24300,2020-11-04
코딩수학으로 배우는 파이썬 3,강승윤/김상권/김현동/김준석,지오북스,12000,10800,2023-05-31
Do it! 장고+부트스트랩 파이썬 웹 개발의 정석,이성용/김태곤,이지스퍼블리싱,32000,28800,2021-01-18
파이썬 시작하기,온개발팀,온노트,12000,-1,2023-07-27
파이썬 데이터 분석 입문,클린턴 브라운리,한빛미디어,27000,24300,2017-10-25
파이썬 디자인 패턴,체탄 기리다,에이콘출판,15000,13500,2019-01-02
코딩 뇌를 깨우는 파이썬,존 V 구태그,한빛미디어,28000,-1,2023-08-31
파이썬과 케라스로 배우는 강화학습,이웅원/양혁렬/김건우/이영무/이의령,위키북스,28000,25200,2020-04-07
파이썬 Express,천인국,생능출판,30000,30000,2020-11-20
파이썬 웹 스크레이핑 완벽 가이드,최은석,위키북스,32000,28800,2022-09-27
파이썬으로 배우는 인공지능 수학,이재광/전태일,인피니티북스,32000,32000,2023-03-01
데이터 드리븐 리포트,이상석,한빛미디어,33000,29700,2023-10-31
파이썬 GUI 프로그래밍 쿡북,부르크하르트 메이어,에이콘출판,35000,31500,2021-09-30
데이터 과학을 위한 파이썬 프로그래밍,최성철,한빛아카데미,30000,30000,2023-01-01
누구나 쉽게 자료구조와 알고리즘 with 파이썬,김현정 저자 황숙희 저자,길벗캠퍼스,28000,-1,2023-10-25
누구나 쉽게 SQL과 AI 알고리즘 with 파이썬,김현정 저자  황숙희 저자,길벗캠퍼스,27000,-1,2023-10-26
파이썬 마스터 2급(3급 포함),김상민,렉스미디어닷넷,22000,19800,2022-12-01
파이썬과 함께하는 자료구조의 이해,양성봉,생능출판,28000,28000,2022-11-10
데이터 과학 기반의 파이썬 빅데이터 분석,이지영,한빛아카데미,28000,28000,2020-12-30
2023 이기적 빅데이터분석기사 실기 기본서,나홍석/배원성/이건길/이혜영/고려사이버대학교 AI·빅데이터 연구소,영진닷컴,33000,29700,2022-10-25
컴퓨팅 사고와 파이썬,김지연,한빛아카데미,24000,24000,2021-05-31
파이썬 웹프로그래밍(실전편),김석훈,한빛미디어,32000,28800,2019-11-01
파이썬 과 MySQL,이길상,부크크(Bookk),19000,19000,2023-07-04
파이썬 머신러닝 정복하기,정종호,삼양미디어,20000,18000,2023-04-05
Black Hat Python(에이콘 해킹 보안 시리즈),저스틴 지이츠,에이콘출판,25000,22500,2015-04-30
파이썬을 활용한 생명정보학,티아구 안타오,에이콘출판,36000,32400,2019-12-30
Streamlit으로 프로젝트 한방에 끝내기 with 파이썬,Sara Evan,부크크(Bookk),33500,33500,2023-05-30
파이썬 기초와 활용,한정란,21세기사,32000,28800,2023-03-02
위니브월드 탐험대학생용: 게임으로 배우는 파이썬 교육 플랫폼,주식회사 위니브,사도출판,0,-1,2023-11-09
파이썬·케라스로 시작하는 AI 기초,천상훈,복두출판사,15300,-1,2023-09-21
더 쉬운 파이썬 프로그래밍, 2판,최 종 명/김 기 영,J&H,22000,-1,2023-08-17
파이썬ㆍ케라스로 시작하는 AI기초,천상훈,복두출판사,15000,15000,2021-07-15
파이썬으로 만드는 인공지능,오일석/이진선,한빛아카데미,31000,31000,2021-01-05
파이썬을 이용한 기초통계학,박철근,자유아카데미,30000,27000,2023-08-15
파이썬으로 살펴보는 아키텍처 패턴: TDD, DDD, EDM 적용하기,해리 퍼시벌/밥 그레고리,한빛미디어,32000,28800,2021-06-03
그림으로 배우는 파이썬,다카하시 마나,영진닷컴,18000,16200,2021-11-10
뚝딱뚝딱 파이썬 자동화,알 스웨이가트,인사이트,33000,29700,2021-07-28
파이썬 스킬 업,브라이언 오버랜드/존 베넷,길벗,40000,36000,2021-05-31
파이썬으로 시작하는 로봇 활용 SW 교육: 햄스터,황준/연승욱/박광현,영진닷컴,18000,16200,2020-03-06
청소년을 위한 파이썬 300제,김현정,궁리,18000,16200,2023-03-10
Introduction to 파이썬,황재호,인포앤북,25000,22500,2021-03-01
C#과 파이썬을 활용한 OpenCV 4 프로그래밍,윤대희,위키북스,36000,32400,2021-04-15
파이썬 마이크로서비스,타렉 지아드,에이콘출판,35000,31500,2019-05-17
예제부터 배우는 거꾸로 파이썬,구재홍,비제이퍼블릭,23000,20700,2022-08-19
위니브월드 탐험대선생님용: 게임으로 배우는 파이썬 교육 플랫폼,주식회사 위니브,사도출판,0,-1,2023-11-09
파이썬으로 배우는 게임 개발: 입문편,히로세 츠요시,제이펍,28000,25200,2020-10-26
파이썬 날코딩으로 알고 짜는 딥러닝,윤덕호,한빛미디어,45000,40500,2019-07-15
이것이 데이터 분석이다 with 파이썬,윤기태,한빛미디어,28000,25200,2020-02-10
고급 파이썬,온개발팀,온노트,12000,-1,2023-05-04
실무자를 위한 파이썬 100제,오승환,정보문화사,20000,18000,2020-02-25
파이썬 리팩토링,온개발팀,온노트,12000,-1,2023-05-02
파이썬 해킹 레시피,공재웅,비제이퍼블릭,26000,23400,2021-06-04
슬기로운 파이썬 트릭,댄 베이더,인사이트,20000,18000,2019-01-29
파이썬 머신러닝을 이용한 금융 리스크 관리,Abdullah Karasan,에이콘출판,35000,31500,2023-03-31
비즈니스 애널리틱스를 위한 데이터 마이닝 in 파이썬,갈리트 슈무엘리/Peter C. Bruce/Gedeck Peter/Nitin R. Patel,한빛아카데미,39000,39000,2023-02-10
파이썬으로 배우는 포트폴리오,곽승주,길벗,26000,23400,2021-03-15
파이썬 해킹 입문,조성문/정영훈,프리렉,23000,20700,2014-12-08
파이썬을 이용한 알고리즘 트레이딩,이브스 힐피쉬,제이펍,29000,26100,2021-07-29
한권으로 개발자가 원하던 파이썬 심화 A to Z,문용준/문성혁,잇플,32000,28800,2019-11-25
파이썬으로 배우는 공업수학,김도영/김재현/김현태/정보현/정순모/최경미,지오북스,30000,27000,2022-03-01
파이썬으로 시작하는 데이터 분석,강지영,아이리포,22000,19800,2021-07-15
파이썬 알고리즘,최영규,생능출판,27000,27000,2021-01-28
파이썬 프로그래밍,온개발팀,온노트,13000,-1,2023-04-06
파이썬 퀵스타트,표선영,루비페이퍼,22000,19800,2023-04-17
파이썬과 C로 구현한 수치해석,엄정국,21세기사,34000,30600,2023-08-10
모두의 알고리즘 with 파이썬,이승찬,길벗,16000,14400,2017-05-18
자기주도 파이썬,한컴에듀케이션 알고리즘연구소,복두출판사,17000,17000,2022-11-15
금융 파이썬 쿡북,에릭 르윈슨,에이콘출판,35000,31500,2021-02-10
파이썬으로 챗봇 만들기,Sumit Raj,영진닷컴,20000,18000,2020-11-20
파이썬 딥러닝 케라스(Python Deep Learning Keras),조한성,정보문화사,28000,25200,2022-10-31
라이노 파이썬,김성욱,창조와지식,12000,10800,2021-06-21
알파 회계,김태식/전종준/김태경,와이북스,15000,13500,2017-09-25
엑셀Ⅹ파이썬 코드 레시피 125,카네히로 카즈미,에이케이커뮤니케이션즈,25000,22500,2022-05-10
직장인을 위한 데이터 분석 실무 with 파이썬,이형석/장남수/전상환/정상욱,위키북스,28000,25200,2020-11-12
지구과학을 위한 차근차근 파이썬 코딩 실습 volume 2,심성보 시호연 진대호 송강현 이선주 이정은 최다영 류지훈 박훈영 지음 ㅣ 김춘지 기획,좋은땅,16800,-1,2023-09-04
지구과학을 위한 차근차근 파이썬 코딩 실습 volume 1,심성보 시호연 진대호 송강현 이선주 이정은 최다영 류지훈 박훈영 지음 ㅣ 김춘지 기획,좋은땅,16800,-1,2023-09-04
파이썬 강좌,류주환,퍼플,19000,19000,2023-03-27
클린 코드, 이제는 파이썬이다,알 스웨이가트,책만,30000,27000,2022-08-16
파이썬으로 시작하는 한국어 정보 검색과 자연어 처리,박건숙,노드미디어,43000,38700,2022-09-01
파이썬 네트워크 프로그래밍,서열규/전희성,복두출판사,30000,30000,2022-09-30
그림으로 배우는 파이썬 기초 문법,조대표/유대표,파이스탁,17000,15300,2023-01-02
비전공자를 위한 처음 만나는 파이썬,권건우/김정수/박소민/채정희/김정석/박정순,루나파인북스,20000,18000,2023-06-22
파이썬 클린 코드,온개발팀,온노트,13000,-1,2023-04-12
파이썬 딥러닝 텐서플로,오승환/이경록/김태헌/홍재권,정보문화사,27000,24300,2021-06-30
파이썬과 수치 해석,로버트 요한슨,에이콘출판,50000,45000,2019-08-30
파이썬 코딩 0교시,줄리 스웨이,프리렉,18000,16200,2021-04-30
파이썬으로 시작하는 캐글,이시하라 쇼타로/무라타 히데키,제이펍,18000,16200,2021-04-19
파이썬과 인공지능 프로젝트 with ASUS Tinker Board,서민우/전한결,앤써북,28000,25200,2023-04-15
파이썬 자료구조와 알고리즘,미아 스타인,한빛미디어,22000,19800,2019-07-03
파이썬 프로그래밍,Dave Lee,아티오,15000,13500,2023-03-10
파이썬을 활용한 지리공간 분석 마스터하기,폴 크릭커드/에릭 반 리스/사일러스 톰스,에이콘출판,40000,36000,2020-10-19
파이썬을 이용한 수치해석,박철근 저자,자유아카데미,29700,-1,2023-06-01
시간순삭 파이썬,천인국/정영민/최자영,생능북스,25000,22500,2022-12-04
ELS 평가를 위한 몬테카를로 시뮬레이션과 유한차분법 파이썬 활용,한현수/장한별/유민현/이원진/류지상/이채영,지오북스,19000,17100,2019-11-01
파이썬을 이용한 데이터 분석의 정석,채진석,루비페이퍼,32000,28800,2021-06-25
파이썬을 활용한 딥러닝 전이학습,디파니안 사르카르/러그허브 발리/타모그나 고시,위키북스,24000,-1,2023-07-03
데이터 과학을 위한 기초수학 with 파이썬,이병준,한빛아카데미,26000,23400,2021-01-06
파이썬 머신러닝 판다스 데이터 분석,오승환,정보문화사,25000,22500,2019-06-15
파이썬 데이터 클리닝 쿡북,마이클 워커,위키북스,28000,25200,2021-11-19
파이썬 데이터 분석 실무 테크닉 100,시모야마 테루마사/마쯔다 유마/미키 타카유키,위키북스,26000,23400,2020-07-30
파이썬 마스터 1·2급,유성열,명진씨앤피,22000,19800,2021-11-01
윤성우의 열혈 파이썬 기초편,윤성우,오렌지미디어,16000,14400,2018-11-20
함수형 프로그래밍 with 파이썬,온개발팀,온노트,12000,-1,2023-04-24
Wonder 파이썬,조성호,인피니티북스,28000,28000,2022-07-08
코딩수학 파이썬 1,김상권/김현동/곽수빈/황영진/김준석,지오아카데미,17000,17000,2021-09-01
파이썬 라이브러리를 활용한 텍스트 분석,젠스 알브레히트/싯다르트 라마찬드란/크리스티안 윙클러,한빛미디어,35000,31500,2022-10-11
진지한 파이썬,쥘리앵 당주,한빛미디어,28000,25200,2021-01-25
객체 지향 프로그래밍 with 파이썬,온개발팀,온노트,12000,-1,2023-04-20
파이썬 스타트,박희재,인피니티북스,25000,25000,2022-06-28
데이터 과학(밑바닥부터 시작하는),조엘 그루스,인사이트,27000,24300,2016-05-31
이게 진짜 파이썬EASY!,감무철,책밥,26000,23400,2022-03-14
응용미적분학 with 파이썬,이정례/곽태근/이성진/김원배/김봉진,경문사,24000,24000,2022-09-01
자료구조와 알고리즘 with 파이썬,온개발팀,온노트,12000,-1,2023-04-27
엑셀 × 파이썬 업무 자동화,카네히로 카즈미,인사이트,18000,16200,2020-12-03
창의적 문제 해결을 위한 파이썬 프로그래밍,김진일/윤장혁,연두에디션,23000,23000,2020-02-10
파이썬과 데이터 과학,천인국/박동규/강영민,생능출판,26000,25220,2020-12-28
난생처음 컴퓨팅 사고 with 파이썬,김명호,한빛아카데미,23000,23000,2021-01-05
꼬리에 꼬리를 무는 인공지능 이야기 WITH 파이썬,김귀훈/김지윤/윤숙영/이주연/김슬기/김홍국,이오북스,20000,18000,2023-03-02
파이썬으로 배우는 초중등 교과서 1,김정욱,루비페이퍼,18000,16200,2019-08-16
파이썬아 반가워!,곽문기,다락원,13800,12420,2018-08-27
이공계생을 위한 파이썬 프로그래밍,김호숙/정현우,프리렉,24000,21600,2023-03-13
파이썬을 이용한 경제 및 금융 데이터 분석,정호성,자유아카데미,30000,30000,2023-01-31
비전공자도 쉽게 배우는 파이썬 SQL 코딩,지식커뮤니티,지식 커뮤니티,20000,-1,2023-05-12
파이썬 및 매트랩 기반 수치해석,권순학,홍릉,35000,35000,2023-04-21
파이썬 데이터 분석,장용식,생능출판,28000,28000,2022-02-25
파이썬으로 배우는 공업수학,김도영/김재현/김현태/정보현/정순모/최경미,지오북스,30000,27000,2023-02-01
파이썬으로 배우는 게임 개발: 실전편,히로세 츠요시,제이펍,30000,27000,2020-11-20
파이썬 무작정 따라하기,서승희/송석리,길벗,16000,14400,2021-12-20
쉽게 배우는 자료구조 with 파이썬,문병로,한빛아카데미,29000,29000,2022-01-16
머신러닝 솔루션(전문가를 위한)(데이터 사이언스 시리즈 36),잘라지 트하나키,위키북스,35000,31500,2019-06-13
파이썬 텍스트 코딩 워크북,정재웅/김성안/박수빈/배효정/서정민/서진원,삼양미디어,5000,4500,2022-05-20
파이썬을 이용한 딥러닝/강화학습 주식투자,퀀티랩,위키북스,30000,27000,2022-03-30
원리가 보이는 파이썬 빅데이터 분석 기초와 실습,천세학,한빛아카데미,28000,28000,2023-06-25
클린 파이썬,수닐 카필,에이콘출판,22000,19800,2021-04-16
필수 알고리즘 with 파이썬,박선주,영진닷컴,16000,14400,2018-10-24
핵심코어! 데이터 분석 with 파이썬,최희식,인피니티북스,26000,23400,2023-03-31
파이썬 입문 예제 중심,황재호,인포앤북,25000,22500,2020-06-01
행동 데이터 분석,Buisson Florent,한빛미디어,34000,30600,2023-05-26
파이썬 동시성 프로그래밍,엘리엇 포브스,에이콘출판,30000,27000,2018-09-17
파이썬을 이용한 통계분석,이원우/장인홍/이다혜,자유아카데미,36000,36000,2022-04-15
파이썬의 정석,조용주/임좌상,길벗캠퍼스,29800,29800,2023-01-10
파이썬과 아두이노 기초,박정규/조범희,복두출판사,18000,18000,2023-02-15
파이썬으로 웹 크롤러 만들기,라이언 미첼,한빛미디어,25000,22500,2019-03-29
파이썬 프로그래밍,김영탁,도서출판 홍릉(홍릉과학출판사),34000,34000,2020-01-20
파이썬 코딩 노트북 38,이강성,프리렉,22000,19800,2022-11-30
자기주도 파이썬,한컴에듀케이션 알고리즘연구소,복두출판사,16000,16000,2021-07-30
데이터 분석을 위한 파이썬 철저 입문,최은석,위키북스,28000,25200,2019-04-25
실전 파이썬 핸즈온 프로젝트,리본,책만,28000,25200,2022-05-31
COS Pro 2급 파이썬 (교재+모의고사),남재윤,길벗,18000,16200,2018-02-15
파이썬과 함께하는 AI젯봇,문상국/정원교/장선연/양효식/아이씨뱅큐(주),아이씨뱅큐,25000,22500,2021-05-31
파이썬을 이용한 수치해석,류권규/이남주,씨아이알,35000,31500,2020-12-28
파이썬 수치해석,Qingkai Kong/Timmy Siauw/Alexandre M. Bayen,휴먼싸이언스,33000,33000,2022-02-18
ICDL 컴퓨팅 파이썬,박우창/양회석/이낙선/남송휘,Publs(퍼블스),20000,19000,2019-11-15
중3 고1 컴퓨팅 사고력 파이썬,박문철,낭만독타,15000,-1,2023-02-08
파이썬을 제대로 활용해보려고 해(입문 + 활용),최용/스타트코딩,패스트캠퍼스,19800,17820,2022-12-05
파이썬 해킹 프로그래밍,저스틴 지이츠,에이콘출판,25000,22500,2010-01-04
엑셀 자동화 with 파이썬,최은석,위키북스,30000,27000,2020-11-10
파이썬으로 데이터 마이닝 시작하기,나단 그리넬치,에이콘출판,21000,18900,2019-12-19
윤성우의 열혈 파이썬 중급편,윤성우,오렌지미디어,16000,14400,2019-10-29
파이썬 비동기 라이브러리 Asyncio,케일럽 해팅,한빛미디어,18000,16200,2021-05-01
데이터 분석 with 파이썬,김임용,심통,32000,28800,2022-06-30
파이썬 자료구조,김병호,홍릉,15000,15000,2021-07-23
박쌤과 함께 코딩의 기본기를 채울 수 있는 다양한 예제로 배우는 파이썬,박병기,아티오,25000,22500,2023-04-20
데이터 과학을 위한 파이썬 프로그래밍,이정근,경문사,26000,26000,2023-02-20
자바에서 파이썬 AI 서버에 웹으로 연결하기,허진경,부크크(Bookk),9400,9400,2023-05-22
파이썬으로 제어하는 마이크로비트,북마크,부크크(Bookk),9400,9400,2022-08-08
파이썬으로 만드는 나만의 게임,이수안,비제이퍼블릭,25000,22500,2022-01-28
파이썬 기반의 AI를 위한 기초수학, 확률 및 통계,강봉주,자유아카데미,32000,32000,2020-03-16
바로 쓰는 파이썬,박진수,서울대학교출판문화원,25000,25000,2019-02-28
파이썬으로 캐글 뽀개기,Evan/조대연/김보경/정필원/최준영,비제이퍼블릭,31000,27900,2021-08-27
손에 잡히는 퀀트 투자 with 파이썬,GIL’s LAB,위키북스,32000,28800,2022-02-22
코드업과 함께 하는 파이썬 & 문제 해결,배준호/정웅열/정종광/전현석,삼양미디어,16000,14400,2020-11-20
Hello Coding 한입에 쏙 파이썬,김왼손/김태간,한빛미디어,15000,13500,2018-06-20
파이썬으로 배우는 자료 구조 핵심 원리,양태환,길벗,22000,19800,2021-08-20
파이썬 Jupyter Notebook 실전 입문,이케우치 타카히로/카타야나기 노부코/이와오 에마 하루카/@driller,터닝포인트,25000,22500,2018-06-01
엔지니어를 위한 파이썬,나카쿠키 켄지,제이펍,28000,25200,2017-11-30
챗GPT와 함께하는 파이썬 & 머신러닝 코딩 마스터,김대우,부크크(Bookk),17800,17800,2023-07-04
프로그래밍의 정석: 파이썬,도경구,생능출판,28000,25200,2020-12-29
알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력,김충석/김지연,한빛아카데미,24000,24000,2023-02-19
암호 해킹으로 배우는 파이썬의 기초,알 스웨이가트,에이콘출판,35000,31500,2019-07-31
비트코딩 라이트 : 파이썬,박해민,햄큐,20000,18000,2018-10-19
나의 첫 머신러닝/딥러닝(데이터 사이언스 시리즈 27),허민석,위키북스,26000,23400,2019-01-10
알기쉬운 파이썬 SQL 코딩하기,정현희,크라운출판사,15000,13500,2023-01-10
Step by Step CRM을 위한 파이썬 머신러닝,김형수,프레딕스,30000,30000,2023-05-01
Let’s Start Coding with Raptor & Python (랩터 & 파이썬),김충석,앤아이컴즈,24000,24000,2019-08-15
파이썬 프로그래밍,박영권,시대인,22000,19800,2022-01-10
파이썬을 활용한 DSMDesign/Dependency Structure Matrix 기초 입문,박건영,키메이커,10000,-1,2023-05-02
파이썬 코딩 실습(기본편),류지훈/박훈영/시호연/심성보/윤현석/진대호,좋은땅,25000,22500,2020-07-27
파이썬 OpenCV를 이용한 영상처리 (컬러판),허진경,부크크(Bookk),25000,25000,2021-09-30
파이썬으로 배우는 초중등 교과서 2,김정욱,루비페이퍼,18000,16200,2019-08-20
파이썬의 정석,보요 시바타,루비페이퍼,26000,23400,2021-03-01
금융 데이터를 위한 파이썬,테리엇,비제이퍼블릭,24000,21600,2020-06-26
파이썬으로 배우는 프로그래밍 기초,임좌상/조용주,인피니티북스,23000,23000,2018-02-27
파이썬으로 코딩하는 물리,송오영,21세기사,29000,26100,2021-03-02
깔끔한 파이썬 탄탄한 백엔드,송은우,비제이퍼블릭,27000,24300,2019-01-25
잡아라! 텍스트 마이닝 with 파이썬,서대호,비제이퍼블릭,17000,15300,2019-04-30
모두의 라즈베리파이 with 파이썬,이시이 모루나/에사키 노리히데,길벗,26000,23400,2019-01-20
파이써닉한 파이썬을 익히는 간결한 안내서,데이비트 M. 비즐리,인사이트,28000,25200,2022-08-22
디딤돌 파이썬,이찬수,인피니티북스,29000,29000,2022-08-23
400제로 배우는 파이썬 입문,김범준,심통,28000,25200,2021-10-29
파이썬을 활용한 금융 분석,이브 힐피시,한빛미디어,42000,37800,2016-06-01
파이썬 알고리즘 객체지향 코딩의 기술,장무경,로드북,35000,31500,2022-12-23
자료구조와 알고리즘 with 파이썬,김현정/황숙희,길벗캠퍼스,28000,28000,2023-01-10
파이썬을 활용한 비지도 학습,벤자민 존스턴/애런 존스/크리스토퍼 크루거,에이콘출판,35000,31500,2019-11-29
파이썬으로 움직이는 EV3 로봇,황일규,복두출판사,22000,22000,2021-07-15
파이썬으로 배우는 영상처리,Sandipan Dey,도서출판 홍릉(홍릉과학출판사),33000,33000,2020-01-20
딥러닝 머신러닝을 위한 파이썬 넘파이,문용준/문성혁,잇플,35000,31500,2020-06-15
단단한 파이썬,패트릭 비아포어,에이콘출판,35000,31500,2022-08-24
코딩 자율학습 나도코딩의 파이썬 입문,나도코딩,길벗,19200,-1,2023-03-20
누구나 파이썬 너도 데이터 가지고 놀 수 있어! 1,민형기,토마토북,16000,14400,2019-06-17
Step by Step CRM을 위한 파이썬 머신러닝,김형수,프레딕스,23000,-1,2023-04-07
2쪽 75주제로 연습하는 파이썬,구본근,홍릉,19000,19000,2023-02-28
파이썬 챌린지,니콜라 레이시,제이펍,11200,10080,2021-05-12
파이썬 매일 코딩,루벤 M. 러너,길벗,22000,19800,2021-11-30
파이썬 훈련소,북마크,유페이퍼,5000,-1,2022-08-06
연오의 파이썬,박연오,인사이트,19800,17820,2020-12-31
Pandas Cookbook,시어도어 페트로우,에이콘출판,40000,36000,2018-03-30
파이썬을 활용한 딥러닝 전이학습,디파니안 사르카르/러그허브 발리/타모그나 고시,위키북스,30000,27000,2019-10-11
파이썬으로 만드는 OpenCV 프로젝트,이세우,인사이트,36000,32400,2019-03-28
파이썬으로 배우는 수치 데이터 처리,김동근,가메,22000,19800,2020-03-03
아두이노와 피지컬 컴퓨팅 with 파이썬,이원규/김자미/장윤재,교학사,16000,14400,2018-12-20
파이썬으로 배우는 응용 텍스트 분석,벤자민 벵포트/레베카 빌브로/토니 오제다,제이펍,27000,24300,2019-11-29
파이썬 인공지능 입문+실전: 종합편,서민우,앤써북,23000,20700,2021-09-25
파이썬을 활용한 금융공학 레시피,김용환,한빛미디어,28000,25200,2018-06-01
새내기 파이썬,천인국,생능출판,30000,30000,2022-06-30
김변수와 시작하는 코딩생활 with 파이썬,코뮤니티 운영진(휴몬랩),영진닷컴,18000,16200,2022-03-25
파이썬으로 무인도 탈출하기(STEAM 창의융합교육 시리즈 4),박정호/안해민/박찬솔,생능출판,14000,12600,2019-08-16
기계공학도를 위한 파이썬과 머신러닝,이대엽/이경은/이상승,야스미디어,25000,22500,2023-02-20
파이썬으로 하는 마케팅 연구와 분석,제이슨 슈바르츠/크리스 채프먼/에리 맥도넬 파이트,에이콘출판,40000,36000,2022-12-29
금융 데이터 분석을 위한 파이썬 판다스,유대표/조대표,파이스탁,30000,27000,2022-03-02
시간순삭 파이썬,천인국/정영민/최자영,생능북스,22000,19800,2020-08-27
똑똑한 파이썬,황재호/황예린,인포앤북,18000,16200,2021-06-01
딥러닝을 위한 최적화와 수치해석,황윤구/양한별,남가람북스,32000,28800,2020-02-03
비주얼 코딩: 스크래치&파이썬,캐롤 보더먼/존 우드콕/션 맥매너스/크레이그 스틸/클레어 퀴글리/다니엘 매카퍼티,청어람아이,19800,17820,2016-12-20
